Nb,Sector,Type,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
402,78,ARC,23L8_943,LBARB_23L8_EH843.POSST,LBARB_23L8_TT843.POSST,QRLAB_23L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_23L8_TT943.POSST,QRLAA_21L8_TT961.POSST,2,38,0.39,4,53,QRLAB_23L8_QBS943.POSST,QRLAB_23L8_FT943.POSST
403,78,ARC,21L8_947,LQOAG_22L8_EH847.POSST,LQOAG_22L8_TT847.POSST,QRLAA_21L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT947.POSST,QRLAA_21L8_TT961.POSST,2,22,0.39,4,53,QRLAA_21L8_QBS947.POSST,QRLAA_21L8_FT947.POSST
404,78,ARC,21L8_943,LBARB_21L8_EH843.POSST,LBARB_21L8_TT843.POSST,QRLAA_21L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT943.POSST,QRLAA_21L8_TT961.POSST,2,38,0.39,4,53,QRLAA_21L8_QBS943.POSST,QRLAA_21L8_FT943.POSST
405,78,ARC,19L8_947,LQATH_20L8_EH847.POSST,LQATH_20L8_TT847.POSST,QRLAB_19L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_19L8_TT947.POSST,QRLAA_21L8_TT961.POSST,2,38,0.39,4,53,QRLAB_19L8_QBS947.POSST,QRLAB_19L8_FT947.POSST
406,78,ARC,19L8_943,LBARB_19L8_EH843.POSST,LBARB_19L8_TT843.POSST,QRLAB_19L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_19L8_TT943.POSST,QRLAA_17L8_TT961.POSST,2,38,0.39,4,53,QRLAB_19L8_QBS943.POSST,QRLAB_19L8_FT943.POSST
407,78,ARC,17L8_947,LQATH_18L8_EH847.POSST,LQATH_18L8_TT847.POSST,QRLAA_17L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT947.POSST,QRLAA_17L8_TT961.POSST,2,38,0.39,4,53,QRLAA_17L8_QBS947.POSST,QRLAA_17L8_FT947.POSST
408,78,ARC,17L8_943,LBARB_17L8_EH843.POSST,LBARB_17L8_TT843.POSST,QRLAA_17L8_CV943.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAA_17L8_TT943.POSST,QRLAA_17L8_TT961.POSST,2,38,0.39,4,53,QRLAA_17L8_QBS943.POSST,QRLAA_17L8_FT943.POSST
409,78,ARC,15L8_947,LQATH_16L8_EH847.POSST,LQATH_16L8_TT847.POSST,QRLAB_15L8_CV947.POSST,0,QRLAA_17L8_PT961.POSST,QRLAA_17L8_PT991.POSST,QRLAB_15L8_TT947.POSST,QRLAA_17L8_TT961.POSST,2,38,0.39,4,53,QRLAB_15L8_QBS947.POSST,QRLAB_15L8_FT947.POSST
410,78,ARC,15L8_943,LBARB_15L8_EH843.POSST,LBARB_15L8_TT843.POSST,QRLAB_15L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_15L8_TT943.POSST,QRLAA_13L8_TT961.POSST,2,38,0.39,4,53,QRLAB_15L8_QBS943.POSST,QRLAB_15L8_FT943.POSST
411,78,ARC,13L8_947,LQATH_14L8_EH847.POSST,LQATH_14L8_TT847.POSST,QRLAA_13L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT947.POSST,QRLAA_13L8_TT961.POSST,2,38,0.39,4,53,QRLAA_13L8_QBS947.POSST,QRLAA_13L8_FT947.POSST
412,78,ARC,13L8_943,LBARB_13L8_EH843.POSST,LBARB_13L8_TT843.POSST,QRLAA_13L8_CV943.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAA_13L8_TT943.POSST,QRLAA_13L8_TT961.POSST,2,38,0.39,4,53,QRLAA_13L8_QBS943.POSST,QRLAA_13L8_FT943.POSST
413,78,ARC,11L8_947,LQATH_12L8_EH847.POSST,LQATH_12L8_TT847.POSST,QRLAB_11L8_CV947.POSST,0,QRLAA_13L8_PT961.POSST,QRLAA_13L8_PT991.POSST,QRLAB_11L8_TT947.POSST,QRLAA_13L8_TT961.POSST,2,38,0.39,4,53,QRLAB_11L8_QBS947.POSST,QRLAB_11L8_FT947.POSST
