Nb,Sector,Type,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
1,12,LSS,03R1_947,LQXAA_01R1_EH847.POSST,LQXAA_01R1_TT847A.POSST,QRLGC_03R1_CV947.POSST,0,QRLGC_03R1_PT961.POSST,QRLGC_03R1_PT991.POSST,QRLGC_03R1_TT947.POSST,QRLGC_03R1_TT961.POSST,6,30,0.26,2,35,QRLGC_03R1_QBS947.POSST,QRLGC_03R1_FT947.POSST
2,12,LSS,04R1_947,LQYCH_04R1_EH847.POSST,LQYCH_04R1_TT847A.POSST,QRLFC_04R1_CV947.POSST,0,QRLFC_04R1_PT961.POSST,QRLFC_04R1_PT991.POSST,QRLFC_04R1_TT947.POSST,QRLFC_04R1_TT961.POSST,7,60,0.1,4,19.42,QRLFC_04R1_QBS947.POSST,QRLFC_04R1_FT947.POSST
3,12,LSS,05R1_947,LQNDC_05R1_EH847.POSST,LQYCH_04R1_TT847A.POSST,QRLEC_05R1_CV947.POSST,0,QRLEC_05R1_PT961.POSST,QRLEC_05R1_PT991.POSST,QRLEC_05R1_TT947.POSST,QRLEC_05R1_TT961.POSST,4,60,0.042,4,8.22,QRLEC_05R1_QBS947.POSST,QRLEC_05R1_FT947.POSST
4,12,LSS,06R1_947,LQNDD_06R1_EH847.POSST,LQNDD_06R1_TT847A.POSST,QRLEC_06R1_CV947.POSST,0,QRLEC_06R1_PT961.POSST,QRLEC_06R1_PT991.POSST,QRLEC_06R1_TT947.POSST,QRLEC_06R1_TT961.POSST,20,60,0.042,4,8.22,QRLEC_06R1_QBS947.POSST,QRLEC_06R1_FT947.POSST
5,12,LSS,07R1_943,LBBRF_08R1_EH843.POSST,LBBRF_08R1_TT843.POSST,QRLCA_07R1_CV943.POSST,QRLCA_07R1_CV947.POSST,QRLDA_07R1_PT961.POSST,QRLDA_07R1_PT991.POSST,QRLCA_07R1_TT943.POSST,QRLDA_07R1_TT961.POSST,6.3,30,0.17,4,40,QRLCA_07R1_QBS943.POSST,QRLCA_07R1_FT943.POSST
6,12,ARC,09R1_947,LQNCE_08R1_EH847.POSST,LQNCE_08R1_TT847.POSST,QRLBA_09R1_CV947.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLBA_09R1_TT947.POSST,QRLBA_09R1_TT961.POSST,7.5,38,0.39,4,45,QRLBA_09R1_QBS947.POSST,QRLBA_09R1_FT947.POSST
7,12,ARC,09R1_943,LBBRF_10R1_EH843.POSST,LBBRF_10R1_TT843.POSST,QRLBA_09R1_CV943.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLBA_09R1_TT943.POSST,QRLBA_09R1_TT961.POSST,7.5,38,0.39,4,45,QRLBA_09R1_QBS943.POSST,QRLBA_09R1_FT943.POSST
8,12,ARC,11R1_947,LQNCE_10R1_EH847.POSST,LQNCE_10R1_TT847.POSST,QRLAB_11R1_CV947.POSST,0,QRLBA_09R1_PT961.POSST,QRLBA_09R1_PT991.POSST,QRLAB_11R1_TT947.POSST,QRLBA_09R1_TT961.POSST,7.5,38,0.39,4,45,QRLAB_11R1_QBS947.POSST,QRLAB_11R1_FT947.POSST
9,12,ARC,11R1_943,LBARB_12R1_EH843.POSST,LBARB_12R1_TT843.POSST,QRLAB_11R1_CV943.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAB_11R1_TT943.POSST,QRLAA_13R1_TT961.POSST,7.5,38,0.39,4,53,QRLAB_11R1_QBS943.POSST,QRLAB_11R1_FT943.POSST
10,12,ARC,13R1_947,LQATH_12R1_EH847.POSST,LQATH_12R1_TT847.POSST,QRLAA_13R1_CV947.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAA_13R1_TT947.POSST,QRLAA_13R1_TT961.POSST,0,38,0.39,4,53,QRLAA_13R1_QBS947.POSST,QRLAA_13R1_FT947.POSST
11,12,ARC,13R1_943,LBARB_14R1_EH843.POSST,LBARB_14R1_TT843.POSST,QRLAA_13R1_CV943.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAA_13R1_TT943.POSST,QRLAA_13R1_TT961.POSST,0,30,0.39,4,53,QRLAA_13R1_QBS943.POSST,QRLAA_13R1_FT943.POSST
12,12,ARC,15R1_947,LQATH_14R1_EH847.POSST,LQATH_14R1_TT847.POSST,QRLAB_15R1_CV947.POSST,0,QRLAA_13R1_PT961.POSST,QRLAA_13R1_PT991.POSST,QRLAB_15R1_TT947.POSST,QRLAA_13R1_TT961.POSST,2,38,0.39,4,53,QRLAB_15R1_QBS947.POSST,QRLAB_15R1_FT947.POSST
13,12,ARC,15R1_943,LBARB_16R1_EH843.POSST,LBARB_16R1_TT843.POSST,QRLAB_15R1_CV943.POSST,0,QRLAA_17R1_PT961.POSST,QRLAA_17R1_PT991.POSST,QRLAB_15R1_TT943.POSST,QRLAA_17R1_TT961.POSST,2,38,0.39,4,53,QRLAB_15R1_QBS943.POSST,QRLAB_15R1_FT943.POSST
14,12,ARC,17R1_947,LQATH_16R1_EH847.POSST,LQATH_16R1_TT847.POSST,QRLAA_17R1_CV947.POSST,0,QRLAA_17R1_PT961.POSST,QRLAA_17R1_PT991.POSST,QRLAA_17R1_TT947.POSST,QRLAA_17R1_TT961.POSST,3,38,0.39,4,53,QRLAA_17R1_QBS947.POSST,QRLAA_17R1_FT947.POSST
15,12,ARC,17R1_943,LBARB_18R1_EH843.POSST,LBARB_18R1_TT843.POSST,QRLAA_17R1_CV943.POSST,0,QRLAA_17R1_PT961.POSST,QRLAA_17R1_PT991.POSST,QRLAA_17R1_TT943.POSST,QRLAA_17R1_TT961.POSST,0,38,0.39,4,53,QRLAA_17R1_QBS943.POSST,QRLAA_17R1_FT943.POSST
16,12,ARC,19R1_947,LQATH_18R1_EH847.POSST,LQATH_18R1_TT847.POSST,QRLAB_19R1_CV947.POSST,0,QRLAA_17R1_PT961.POSST,QRLAA_17R1_PT991.POSST,QRLAB_19R1_TT947.POSST,QRLAA_17R1_TT961.POSST,2,38,0.39,4,53,QRLAB_19R1_QBS947.POSST,QRLAB_19R1_FT947.POSST
17,12,ARC,19R1_943,LBARB_20R1_EH843.POSST,LBARB_20R1_TT843.POSST,QRLAB_19R1_CV943.POSST,0,QRLAA_21R1_PT961.POSST,QRLAA_21R1_PT991.POSST,QRLAB_19R1_TT943.POSST,QRLAA_21R1_TT961.POSST,7.5,38,0.39,4,53,QRLAB_19R1_QBS943.POSST,QRLAB_19R1_FT943.POSST
18,12,ARC,21R1_947,LQATH_20R1_EH847.POSST,LQATH_20R1_TT847.POSST,QRLAA_21R1_CV947.POSST,0,QRLAA_21R1_PT961.POSST,QRLAA_21R1_PT991.POSST,QRLAA_21R1_TT947.POSST,QRLAA_21R1_TT961.POSST,0,30,0.39,4,53,QRLAA_21R1_QBS947.POSST,QRLAA_21R1_FT947.POSST
19,12,ARC,21R1_943,LBARB_22R1_EH843.POSST,LBARB_22R1_TT843.POSST,QRLAA_21R1_CV943.POSST,0,QRLAA_21R1_PT961.POSST,QRLAA_21R1_PT991.POSST,QRLAA_21R1_TT943.POSST,QRLAA_21R1_TT961.POSST,0,38,0.39,4,53,QRLAA_21R1_QBS943.POSST,QRLAA_21R1_FT943.POSST
20,12,ARC,23R1_947,LQOAG_22R1_EH847.POSST,LQOAG_22R1_TT847.POSST,QRLAB_23R1_CV947.POSST,0,QRLAA_21R1_PT961.POSST,QRLAA_21R1_PT991.POSST,QRLAB_23R1_TT947.POSST,QRLAA_21R1_TT961.POSST,7,30,0.39,4,53,QRLAB_23R1_QBS947.POSST,QRLAB_23R1_FT947.POSST
21,12,ARC,23R1_943,LBARB_24R1_EH843.POSST,LBARB_24R1_TT843.POSST,QRLAB_23R1_CV943.POSST,0,QRLAA_25R1_PT961.POSST,QRLAA_25R1_PT991.POSST,QRLAB_23R1_TT943.POSST,QRLAA_25R1_TT961.POSST,7,30,0.39,4,53,QRLAB_23R1_QBS943.POSST,QRLAB_23R1_FT943.POSST
22,12,ARC,25R1_947,LQOAG_24R1_EH847.POSST,LQOAG_24R1_TT847.POSST,QRLAA_25R1_CV947.POSST,0,QRLAA_25R1_PT961.POSST,QRLAA_25R1_PT991.POSST,QRLAA_25R1_TT947.POSST,QRLAA_25R1_TT961.POSST,2,38,0.39,4,53,QRLAA_25R1_QBS947.POSST,QRLAA_25R1_FT947.POSST
23,12,ARC,25R1_943,LBARB_26R1_EH843.POSST,LBARB_26R1_TT843.POSST,QRLAA_25R1_CV943.POSST,0,QRLAA_25R1_PT961.POSST,QRLAA_25R1_PT991.POSST,QRLAA_25R1_TT943.POSST,QRLAA_25R1_TT961.POSST,6,38,0.39,4,53,QRLAA_25R1_QBS943.POSST,QRLAA_25R1_FT943.POSST
24,12,ARC,27R1_947,LQOAG_26R1_EH847.POSST,LQOAG_26R1_TT847.POSST,QRLAB_27R1_CV947.POSST,0,QRLAA_25R1_PT961.POSST,QRLAA_25R1_PT991.POSST,QRLAB_27R1_TT947.POSST,QRLAA_25R1_TT961.POSST,10,38,0.39,4,53,QRLAB_27R1_QBS947.POSST,QRLAB_27R1_FT947.POSST
25,12,ARC,27R1_943,LBARB_28R1_EH843.POSST,LBARB_28R1_TT843.POSST,QRLAB_27R1_CV943.POSST,0,QRLAA_29R1_PT961.POSST,QRLAA_29R1_PT991.POSST,QRLAB_27R1_TT943.POSST,QRLAA_29R1_TT961.POSST,0,38,0.39,4,53,QRLAB_27R1_QBS943.POSST,QRLAB_27R1_FT943.POSST
26,12,ARC,29R1_947,LQOAG_28R1_EH847.POSST,LQOAG_28R1_TT847.POSST,QRLAA_29R1_CV947.POSST,0,QRLAA_29R1_PT961.POSST,QRLAA_29R1_PT991.POSST,QRLAA_29R1_TT947.POSST,QRLAA_29R1_TT961.POSST,3,38,0.39,4,53,QRLAA_29R1_QBS947.POSST,QRLAA_29R1_FT947.POSST
27,12,ARC,29R1_943,LBARB_30R1_EH843.POSST,LBARB_30R1_TT843.POSST,QRLAA_29R1_CV943.POSST,0,QRLAA_29R1_PT961.POSST,QRLAA_29R1_PT991.POSST,QRLAA_29R1_TT943.POSST,QRLAA_29R1_TT961.POSST,0,38,0.39,4,53,QRLAA_29R1_QBS943.POSST,QRLAA_29R1_FT943.POSST
28,12,ARC,31R1_947,LQOAM_30R1_EH847.POSST,LQOAM_30R1_TT847.POSST,QRLAC_31R1_CV947.POSST,0,QRLAA_29R1_PT961.POSST,QRLAA_29R1_PT991.POSST,QRLAC_31R1_TT947.POSST,QRLAA_29R1_TT961.POSST,3,38,0.39,4,53,QRLAC_31R1_QBS947.POSST,QRLAC_31R1_FT947.POSST
29,12,ARC,31R1_943,LBARB_32R1_EH843.POSST,LBARB_32R1_TT843.POSST,QRLAC_31R1_CV943.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAC_31R1_TT943.POSST,QRLAA_33L2_TT961.POSST,0,38,0.39,4,53,QRLAC_31R1_QBS943.POSST,QRLAC_31R1_FT943.POSST
30,12,ARC,33R1_947,LQOAG_32R1_EH847.POSST,LQOAG_32R1_TT847.POSST,QRLAD_33R1_CV947.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAD_33R1_TT947.POSST,QRLAA_33L2_TT961.POSST,8,38,0.39,4,53,QRLAD_33R1_QBS947.POSST,QRLAD_33R1_FT947.POSST
31,12,ARC,33R1_943,LBARB_34R1_EH843.POSST,LBARB_34R1_TT843.POSST,QRLAD_33R1_CV943.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAD_33R1_TT943.POSST,QRLAA_33L2_TT961.POSST,7.5,38,0.39,4,53,QRLAD_33R1_QBS943.POSST,QRLAD_33R1_FT943.POSST
32,12,ARC,33L2_947,LQOAM_34R1_EH847.POSST,LQOAM_34R1_TT847.POSST,QRLAA_33L2_CV947.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAA_33L2_TT947.POSST,QRLAA_33L2_TT961.POSST,0,38,0.39,4,53,QRLAA_33L2_QBS947.POSST,QRLAA_33L2_FT947.POSST
33,12,ARC,33L2_943,LBARB_33L2_EH843.POSST,LBARB_33L2_TT843.POSST,QRLAA_33L2_CV943.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAA_33L2_TT943.POSST,QRLAA_33L2_TT961.POSST,0,38,0.39,4,53,QRLAA_33L2_QBS943.POSST,QRLAA_33L2_FT943.POSST
34,12,ARC,31L2_947,LQOAM_32L2_EH847.POSST,LQOAM_32L2_TT847.POSST,QRLAB_31L2_CV947.POSST,0,QRLAA_33L2_PT961.POSST,QRLAA_33L2_PT991.POSST,QRLAB_31L2_TT947.POSST,QRLAA_33L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_31L2_QBS947.POSST,QRLAB_31L2_FT947.POSST
35,12,ARC,31L2_943,LBARB_31L2_EH843.POSST,LBARB_31L2_TT843.POSST,QRLAB_31L2_CV943.POSST,0,QRLAA_29L2_PT961.POSST,QRLAA_29L2_PT991.POSST,QRLAB_31L2_TT943.POSST,QRLAA_29L2_TT961.POSST,8,38,0.39,4,53,QRLAB_31L2_QBS943.POSST,QRLAB_31L2_FT943.POSST
36,12,ARC,29L2_947,LQOAG_30L2_EH847.POSST,LQOAG_30L2_TT847.POSST,QRLAA_29L2_CV947.POSST,0,QRLAA_29L2_PT961.POSST,QRLAA_29L2_PT991.POSST,QRLAA_29L2_TT947.POSST,QRLAA_29L2_TT961.POSST,8,38,0.39,4,53,QRLAA_29L2_QBS947.POSST,QRLAA_29L2_FT947.POSST
37,12,ARC,29L2_943,LBARB_29L2_EH843.POSST,LBARB_29L2_TT843.POSST,QRLAA_29L2_CV943.POSST,0,QRLAA_29L2_PT961.POSST,QRLAA_29L2_PT991.POSST,QRLAA_29L2_TT943.POSST,QRLAA_29L2_TT961.POSST,0,38,0.39,4,53,QRLAA_29L2_QBS943.POSST,QRLAA_29L2_FT943.POSST
38,12,ARC,27L2_947,LQOAM_28L2_EH847.POSST,LQOAM_28L2_TT847.POSST,QRLAB_27L2_CV947.POSST,0,QRLAA_29L2_PT961.POSST,QRLAA_29L2_PT991.POSST,QRLAB_27L2_TT947.POSST,QRLAA_29L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_27L2_QBS947.POSST,QRLAB_27L2_FT947.POSST
39,12,ARC,27L2_943,LBARB_27L2_EH843.POSST,LBARB_27L2_TT843.POSST,QRLAB_27L2_CV943.POSST,0,QRLAA_25L2_PT961.POSST,QRLAA_25L2_PT991.POSST,QRLAB_27L2_TT943.POSST,QRLAA_25L2_TT961.POSST,5,38,0.39,4,53,QRLAB_27L2_QBS943.POSST,QRLAB_27L2_FT943.POSST
40,12,ARC,25L2_947,LQOAG_26L2_EH847.POSST,LQOAG_26L2_TT847.POSST,QRLAA_25L2_CV947.POSST,0,QRLAA_25L2_PT961.POSST,QRLAA_25L2_PT991.POSST,QRLAA_25L2_TT947.POSST,QRLAA_25L2_TT961.POSST,9,38,0.39,4,53,QRLAA_25L2_QBS947.POSST,QRLAA_25L2_FT947.POSST
41,12,ARC,25L2_943,LBARB_25L2_EH843.POSST,LBARB_25L2_TT843.POSST,QRLAA_25L2_CV943.POSST,0,QRLAA_25L2_PT961.POSST,QRLAA_25L2_PT991.POSST,QRLAA_25L2_TT943.POSST,QRLAA_25L2_TT961.POSST,5,38,0.39,4,53,QRLAA_25L2_QBS943.POSST,QRLAA_25L2_FT943.POSST
42,12,ARC,23L2_947,LQOAG_24L2_EH847.POSST,LQOAG_24L2_TT847.POSST,QRLAB_23L2_CV947.POSST,0,QRLAA_25L2_PT961.POSST,QRLAA_25L2_PT991.POSST,QRLAB_23L2_TT947.POSST,QRLAA_25L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_23L2_QBS947.POSST,QRLAB_23L2_FT947.POSST
43,12,ARC,23L2_943,LBARB_23L2_EH843.POSST,LBARB_23L2_TT843.POSST,QRLAB_23L2_CV943.POSST,0,QRLAA_21L2_PT961.POSST,QRLAA_21L2_PT991.POSST,QRLAB_23L2_TT943.POSST,QRLAA_21L2_TT961.POSST,0,38,0.39,4,53,QRLAB_23L2_QBS943.POSST,QRLAB_23L2_FT943.POSST
44,12,ARC,21L2_947,LQOAG_22L2_EH847.POSST,LQOAG_22L2_TT847.POSST,QRLAA_21L2_CV947.POSST,0,QRLAA_21L2_PT961.POSST,QRLAA_21L2_PT991.POSST,QRLAA_21L2_TT947.POSST,QRLAA_21L2_TT961.POSST,0,38,0.39,4,53,QRLAA_21L2_QBS947.POSST,QRLAA_21L2_FT947.POSST
45,12,ARC,21L2_943,LBARB_21L2_EH843.POSST,LBARB_21L2_TT843.POSST,QRLAA_21L2_CV943.POSST,0,QRLAA_21L2_PT961.POSST,QRLAA_21L2_PT991.POSST,QRLAA_21L2_TT943.POSST,QRLAA_21L2_TT961.POSST,7.5,38,0.39,4,53,QRLAA_21L2_QBS943.POSST,QRLAA_21L2_FT943.POSST
46,12,ARC,19L2_947,LQATH_20L2_EH847.POSST,LQATH_20L2_TT847.POSST,QRLAB_19L2_CV947.POSST,0,QRLAA_21L2_PT961.POSST,QRLAA_21L2_PT991.POSST,QRLAB_19L2_TT947.POSST,QRLAA_21L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_19L2_QBS947.POSST,QRLAB_19L2_FT947.POSST
47,12,ARC,19L2_943,LBARB_19L2_EH843.POSST,LBARB_19L2_TT843.POSST,QRLAB_19L2_CV943.POSST,0,QRLAA_17L2_PT961.POSST,QRLAA_17L2_PT991.POSST,QRLAB_19L2_TT943.POSST,QRLAA_17L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_19L2_QBS943.POSST,QRLAB_19L2_FT943.POSST
48,12,ARC,17L2_947,LQATH_18L2_EH847.POSST,LQATH_18L2_TT847.POSST,QRLAA_17L2_CV947.POSST,0,QRLAA_17L2_PT961.POSST,QRLAA_17L2_PT991.POSST,QRLAA_17L2_TT947.POSST,QRLAA_17L2_TT961.POSST,0,38,0.39,4,53,QRLAA_17L2_QBS947.POSST,QRLAA_17L2_FT947.POSST
49,12,ARC,17L2_943,LBARB_17L2_EH843.POSST,LBARB_17L2_TT843.POSST,QRLAA_17L2_CV943.POSST,0,QRLAA_17L2_PT961.POSST,QRLAA_17L2_PT991.POSST,QRLAA_17L2_TT943.POSST,QRLAA_17L2_TT961.POSST,7.5,38,0.39,4,53,QRLAA_17L2_QBS943.POSST,QRLAA_17L2_FT943.POSST
50,12,ARC,15L2_947,LQATH_16L2_EH847.POSST,LQATH_16L2_TT847.POSST,QRLAB_15L2_CV947.POSST,0,QRLAA_17L2_PT961.POSST,QRLAA_17L2_PT991.POSST,QRLAB_15L2_TT947.POSST,QRLAA_17L2_TT961.POSST,9,38,0.39,4,53,QRLAB_15L2_QBS947.POSST,QRLAB_15L2_FT947.POSST
51,12,ARC,15L2_943,LBARB_15L2_EH843.POSST,LBARB_15L2_TT843.POSST,QRLAB_15L2_CV943.POSST,0,QRLAA_13L2_PT961.POSST,QRLAA_13L2_PT991.POSST,QRLAB_15L2_TT943.POSST,QRLAA_13L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_15L2_QBS943.POSST,QRLAB_15L2_FT943.POSST
52,12,ARC,13L2_947,LQATH_14L2_EH847.POSST,LQATH_14L2_TT847.POSST,QRLAA_13L2_CV947.POSST,0,QRLAA_13L2_PT961.POSST,QRLAA_13L2_PT991.POSST,QRLAA_13L2_TT947.POSST,QRLAA_13L2_TT961.POSST,7.5,38,0.39,4,53,QRLAA_13L2_QBS947.POSST,QRLAA_13L2_FT947.POSST
53,12,ARC,13L2_943,LBARB_13L2_EH843.POSST,LBARB_13L2_TT843.POSST,QRLAA_13L2_CV943.POSST,0,QRLAA_13L2_PT961.POSST,QRLAA_13L2_PT991.POSST,QRLAA_13L2_TT943.POSST,QRLAA_13L2_TT961.POSST,0,38,0.39,4,53,QRLAA_13L2_QBS943.POSST,QRLAA_13L2_FT943.POSST
54,12,ARC,11L2_947,LQATH_12L2_EH847.POSST,LQATH_12L2_TT847.POSST,QRLAB_11L2_CV947.POSST,0,QRLAA_13L2_PT961.POSST,QRLAA_13L2_PT991.POSST,QRLAB_11L2_TT947.POSST,QRLAA_13L2_TT961.POSST,7.5,38,0.39,4,53,QRLAB_11L2_QBS947.POSST,QRLAB_11L2_FT947.POSST
55,12,ARC,11L2_943,LBBRP_11L2_EH843.POSST,LBBRP_11L2_TT843.POSST,QRLAB_11L2_CV943.POSST,0,QRLBA_09L2_PT961.POSST,QRLBA_09L2_PT991.POSST,QRLAB_11L2_TT943.POSST,QRLBA_09L2_TT961.POSST,7.5,38,0.39,4,45,QRLAB_11L2_QBS943.POSST,QRLAB_11L2_FT943.POSST
56,12,ARC,09L2_947,LQNCE_10L2_EH847.POSST,LQNCE_10L2_TT847.POSST,QRLBA_09L2_CV947.POSST,0,QRLBA_09L2_PT961.POSST,QRLBA_09L2_PT991.POSST,QRLBA_09L2_TT947.POSST,QRLBA_09L2_TT961.POSST,7.5,38,0.39,4,45,QRLBA_09L2_QBS947.POSST,QRLBA_09L2_FT947.POSST
57,12,ARC,09L2_943,LBBRF_09L2_EH843.POSST,LBBRF_09L2_TT843.POSST,QRLBA_09L2_CV943.POSST,0,QRLBA_09L2_PT961.POSST,QRLBA_09L2_PT991.POSST,QRLBA_09L2_TT943.POSST,QRLBA_09L2_TT961.POSST,7.5,38,0.39,4,45,QRLBA_09L2_QBS943.POSST,QRLBA_09L2_FT943.POSST
58,12,LSS,07L2_947,LQNCE_08L2_EH847.POSST,LQNCE_08L2_TT847.POSST,QRLCF_07L2_CV947.POSST,QRLCF_07L2_CV943.POSST,QRLBA_09L2_PT961.POSST,QRLBA_09L2_PT991.POSST,QRLCF_07L2_TT947.POSST,QRLBA_09L2_TT961.POSST,6.3,30,0.22,4,40,QRLCF_07L2_QBS947.POSST,QRLCF_07L2_FT947.POSST
59,12,LSS,07L2_945,LQNFK_07L2_EH845.POSST,LQNFK_07L2_TT845.POSST,QRLCF_07L2_CV945.POSST,0,QRLBA_09L2_PT961.POSST,QRLBA_09L2_PT991.POSST,QRLCF_07L2_TT945.POSST,QRLBA_09L2_TT961.POSST,6.3,38,0.22,4,13.5,QRLCF_07L2_QBS945.POSST,QRLCF_07L2_FT945.POSST
60,12,LSS,06L2_947,LQNLH_06L2_EH847.POSST,LQNLH_06L2_TT847A.POSST,QRLEA_06L2_CV947.POSST,0,QRLEA_06L2_PT961.POSST,QRLEA_06L2_PT991.POSST,QRLEA_06L2_TT947.POSST,QRLEA_06L2_TT961.POSST,15,120,0.05,4,12,QRLEA_06L2_QBS947.POSST,QRLEA_06L2_FT947.POSST
61,12,LSS,05L2_947,LQYFA_05L2_EH847.POSST,LQYFA_05L2_TT847A.POSST,QRLEA_05L2_CV947.POSST,0,QRLEA_05L2_PT961.POSST,QRLEA_05L2_PT991.POSST,QRLEA_05L2_TT947.POSST,QRLEA_05L2_TT961.POSST,35,30,0.05,4,12.955,QRLEA_05L2_QBS947.POSST,QRLEA_05L2_FT947.POSST
62,12,LSS,04L2_947,LQYEB_04L2_EH847.POSST,LQYEB_04L2_TT847A.POSST,QRLFE_04L2_CV947.POSST,0,QRLFE_04L2_PT961.POSST,QRLFE_04L2_PT991.POSST,QRLFE_04L2_TT947.POSST,QRLFE_04L2_TT961.POSST,18,30,0.078,4,22.735,QRLFE_04L2_QBS947.POSST,QRLFE_04L2_FT947.POSST
63,12,LSS,03L2_947,LQXAB_01L2_EH847.POSST,LQXAB_01L2_TT847A.POSST,QRLGF_03L2_CV947.POSST,0,QRLGF_03L2_PT961.POSST,QRLGF_03L2_PT991.POSST,QRLGF_03L2_TT947.POSST,QRLGF_03L2_TT961.POSST,6,30,0.26,2,45,QRLGF_03L2_QBS947.POSST,QRLGF_03L2_FT947.POSST
64,23,LSS,03R2_947,LQXAA_01R2_EH847.POSST,LQXAA_01R2_TT847A.POSST,QRLGE_03R2_CV947.POSST,0,QRLGE_03R2_PT961.POSST,QRLGE_03R2_PT991.POSST,QRLGE_03R2_TT947.POSST,QRLGE_03R2_TT961.POSST,0,33,0.26,2,45,QRLGE_03R2_QBS947.POSST,QRLGE_03R2_FT947.POSST
65,23,LSS,04R2_947,LQYED_04R2_EH847.POSST,LQYED_04R2_TT847A.POSST,QRLFF_04R2_CV947.POSST,0,QRLFF_04R2_PT961.POSST,QRLFF_04R2_PT991.POSST,QRLFF_04R2_TT947.POSST,QRLFF_04R2_TT961.POSST,3,50,0.1,4,22.755,QRLFF_04R2_QBS947.POSST,QRLFF_04R2_FT947.POSST
66,23,LSS,05R2_947,LQNMA_05R2_EH847.POSST,LQNMA_05R2_TT847A.POSST,QRLEA_05R2_CV947.POSST,0,QRLEA_05R2_PT961.POSST,QRLEA_05R2_PT991.POSST,QRLEA_05R2_TT947.POSST,QRLEA_05R2_TT961.POSST,9,50,0.1,4,12.955,QRLEA_05R2_QBS947.POSST,QRLEA_05R2_FT947.POSST
67,23,LSS,06R2_947,LQNLD_06R2_EH847.POSST,LQNLD_06R2_TT847A.POSST,QRLEA_06R2_CV947.POSST,0,QRLEA_06R2_PT961.POSST,QRLEA_06R2_PT991.POSST,QRLEA_06R2_TT947.POSST,QRLEA_06R2_TT961.POSST,4,50,0.12,4,12,QRLEA_06R2_QBS947.POSST,QRLEA_06R2_FT947.POSST
68,23,LSS,07R2_943,LBBLF_08R2_EH843.POSST,LBBLF_08R2_TT843.POSST,QRLCA_07R2_CV943.POSST,QRLCA_07R2_CV947.POSST,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLCA_07R2_TT943.POSST,QRLBA_09R2_TT961.POSST,0,40,0.22,4,40,QRLCA_07R2_QBS943.POSST,QRLCA_07R2_FT943.POSST
69,23,ARC,09R2_947,LQNCB_08R2_EH847.POSST,LQNCB_08R2_TT847.POSST,QRLBA_09R2_CV947.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLBA_09R2_TT947.POSST,QRLBA_09R2_TT961.POSST,2,38,0.39,4,45,QRLBA_09R2_QBS947.POSST,QRLBA_09R2_FT947.POSST
70,23,ARC,09R2_943,LBBLF_10R2_EH843.POSST,LBBLF_10R2_TT843.POSST,QRLBA_09R2_CV943.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLBA_09R2_TT943.POSST,QRLBA_09R2_TT961.POSST,2,38,0.39,4,45,QRLBA_09R2_QBS943.POSST,QRLBA_09R2_FT943.POSST
71,23,ARC,11R2_947,LQNCB_10R2_EH847.POSST,LQNCB_10R2_TT847.POSST,QRLAB_11R2_CV947.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLAB_11R2_TT947.POSST,QRLBA_09R2_TT961.POSST,2,38,0.39,4,45,QRLAB_11R2_QBS947.POSST,QRLAB_11R2_FT947.POSST
72,23,ARC,11R2_943,LBALB_12R2_EH843.POSST,LBALB_12R2_TT843.POSST,QRLAB_11R2_CV943.POSST,0,QRLAA_13R2_PT961.POSST,QRLAA_13R2_PT991.POSST,QRLAB_11R2_TT943.POSST,QRLAA_13R2_TT961.POSST,2,38,0.39,4,53,QRLAB_11R2_QBS943.POSST,QRLAB_11R2_FT943.POSST
