Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
27L6_943	ARC	56	LBARB_27L6_EH843.POSST	LBARB_27L6_TT843.POSST	QRLAB_27L6_CV943.POSST	QRLAA_25L6_PT961.POSST	QRLAA_25L6_PT991.POSST	QRLAB_27L6_TT943.POSST	QRLAA_25L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L6_947	ARC	56	LQOAG_26L6_EH847.POSST	LQOAG_26L6_TT847.POSST	QRLAA_25L6_CV947.POSST	QRLAA_25L6_PT961.POSST	QRLAA_25L6_PT991.POSST	QRLAA_25L6_TT947.POSST	QRLAA_25L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L6_943	ARC	56	LBARB_25L6_EH843.POSST	LBARB_25L6_TT843.POSST	QRLAA_25L6_CV943.POSST	QRLAA_25L6_PT961.POSST	QRLAA_25L6_PT991.POSST	QRLAA_25L6_TT943.POSST	QRLAA_25L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L6_947	ARC	56	LQOAG_24L6_EH847.POSST	LQOAG_24L6_TT847.POSST	QRLAB_23L6_CV947.POSST	QRLAA_25L6_PT961.POSST	QRLAA_25L6_PT991.POSST	QRLAB_23L6_TT947.POSST	QRLAA_25L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L6_943	ARC	56	LBARB_23L6_EH843.POSST	LBARB_23L6_TT843.POSST	QRLAB_23L6_CV943.POSST	QRLAA_21L6_PT961.POSST	QRLAA_21L6_PT991.POSST	QRLAB_23L6_TT943.POSST	QRLAA_21L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L6_947	ARC	56	LQOAG_22L6_EH847.POSST	LQOAG_22L6_TT847.POSST	QRLAA_21L6_CV947.POSST	QRLAA_21L6_PT961.POSST	QRLAA_21L6_PT991.POSST	QRLAA_21L6_TT947.POSST	QRLAA_21L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L6_943	ARC	56	LBARB_21L6_EH843.POSST	LBARB_21L6_TT843.POSST	QRLAA_21L6_CV943.POSST	QRLAA_21L6_PT961.POSST	QRLAA_21L6_PT991.POSST	QRLAA_21L6_TT943.POSST	QRLAA_21L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L6_947	ARC	56	LQATH_20L6_EH847.POSST	LQATH_20L6_TT847.POSST	QRLAB_19L6_CV947.POSST	QRLAA_21L6_PT961.POSST	QRLAA_21L6_PT991.POSST	QRLAB_19L6_TT947.POSST	QRLAA_21L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L6_943	ARC	56	LBARB_19L6_EH843.POSST	LBARB_19L6_TT843.POSST	QRLAB_19L6_CV943.POSST	QRLAA_17L6_PT961.POSST	QRLAA_17L6_PT991.POSST	QRLAB_19L6_TT943.POSST	QRLAA_17L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17L6_947	ARC	56	LQATH_18L6_EH847.POSST	LQATH_18L6_TT847.POSST	QRLAA_17L6_CV947.POSST	QRLAA_17L6_PT961.POSST	QRLAA_17L6_PT991.POSST	QRLAA_17L6_TT947.POSST	QRLAA_17L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
